"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"ITA17_PS_2440";"63";"13.9";"2.9";"101.4"
"ITA17_PS_2440";"64";"13.9";"3.4";"101.4"
"ITA17_PS_2440";"65";"13.9";"2.3";"101.4"
"ITA17_PS_2440";"66";"13.9";"14.1";"101.4"
"ITA17_PS_2440";"67";"13.9";"14.9";"101.4"
"ITA17_PS_2440";"68";"13.9";"10.9";"101.4"
"ITA17_PS_2440";"69";"13.9";"10.9";"101.4"
"ITA17_PS_2440";"70";"13.9";"7.5";"101.4"
"ITA17_PS_2440";"71";"13.9";"2.6";"101.4"
"ITA17_PS_2440";"72";"13.9";"0.9";"101.4"
"ITA17_PS_2440";"73";"13.9";"5.429306672";"105.9"
"ITA17_PS_2440";"74";"13.9";"9.213697373";"105.9"
"ITA17_PS_2440";"75";"13.9";"9.04907028";"105.9"
"ITA17_PS_2440";"76";"13.9";"9.213697373";"105.9"
"ITA17_PS_2440";"77";"13.9";"10.86877551";"105.9"
"ITA17_PS_2440";"78";"13.9";"14.02378938";"105.9"
"ITA17_PS_2440";"79";"13.9";"9.872205744";"105.9"
"ITA17_PS_2440";"80";"13.9";"4.442221594";"105.9"
"ITA17_PS_2440";"81";"13.9";"7.568781401";"105.9"
"ITA17_PS_2440";"82";"13.9";"10.85929082";"105.9"
"ITA17_PS_2440";"83";"13.9";"7.568781401";"105.9"
"ITA17_PS_2440";"84";"13.9";"5.265357057";"105.9"
"HRV17_PS_1218";"0";"43.5";"5";"21"
"HRV17_PS_1218";"1";"43.5";"5";"21"
"HRV17_PS_1218";"2";"43.5";"9";"21"
"HRV17_PS_1218";"3";"43.5";"9";"21"
"HRV17_PS_1218";"4";"43.5";"9";"21"
"HRV17_PS_1218";"5";"43.5";"9";"21"
"HRV17_PS_1218";"6";"43.5";"9";"21"
"HRV17_PS_1218";"7";"43.5";"9";"21"
"HRV17_PS_1218";"8";"43.5";"9";"21"
"HRV17_PS_1218";"9";"43.5";"9";"21"
"HRV17_PS_1218";"10";"43.5";"9";"21"
"HRV17_PS_1218";"11";"43.5";"9";"21"
"HRV17_PS_1218";"12";"43.5";"5";"21"
"HRV17_PS_1218";"13";"43.5";"5";"21"
"HRV17_PS_1218";"14";"43.5";"9";"21"
"HRV17_PS_1218";"15";"43.5";"9";"21"
"HRV17_PS_1218";"16";"43.5";"9";"21"
"HRV17_PS_1218";"17";"43.5";"9";"21"
"HRV17_PS_1218";"18";"43.5";"9";"21"
"HRV17_PS_1218";"19";"43.5";"9";"21"
"HRV17_PS_1218";"20";"43.5";"9";"21"
"HRV17_PS_1218";"21";"43.5";"9";"21"
"HRV17_PS_1218";"22";"43.5";"9";"21"
"HRV17_PS_1218";"23";"43.5";"9";"21"
"HRV17_PS_1218";"24";"43.5";"5";"21"
"HRV17_PS_1218";"25";"43.5";"5";"21"
"HRV17_PS_1218";"26";"43.5";"9";"21"
"HRV17_PS_1218";"27";"43.5";"9";"21"
"HRV17_PS_1218";"28";"43.5";"9";"21"
"HRV17_PS_1218";"29";"43.5";"9";"21"
"HRV17_PS_1218";"30";"43.5";"9";"21"
"HRV17_PS_1218";"31";"43.5";"9";"21"
"HRV17_PS_1218";"32";"43.5";"9";"21"
"HRV17_PS_1218";"33";"43.5";"9";"21"
"HRV17_PS_1218";"34";"43.5";"9";"21"
"HRV17_PS_1218";"35";"43.5";"9";"21"
"HRV17_PS_1218";"36";"43.5";"5";"21"
"HRV17_PS_1218";"37";"43.5";"5";"21"
"HRV17_PS_1218";"38";"43.5";"9";"21"
"HRV17_PS_1218";"39";"43.5";"9";"21"
"HRV17_PS_1218";"40";"43.5";"9";"21"
"HRV17_PS_1218";"41";"43.5";"9";"21"
"HRV17_PS_1218";"42";"43.5";"9";"21"
"HRV17_PS_1218";"43";"43.5";"9";"21"
"HRV17_PS_1218";"44";"43.5";"9";"21"
"HRV17_PS_1218";"45";"43.5";"9";"21"
"HRV17_PS_1218";"46";"43.5";"9";"21"
"HRV17_PS_1218";"47";"43.5";"9";"21"
"HRV17_PS_1218";"48";"43.5";"5";"21"
"HRV17_PS_1218";"49";"42";"5";"21"
"HRV17_PS_1218";"50";"42";"11";"21"
"HRV17_PS_1218";"51";"42";"11";"21"
"HRV17_PS_1218";"52";"42";"11";"21"
"HRV17_PS_1218";"53";"42";"11";"21"
"HRV17_PS_1218";"54";"42";"11";"21"
"HRV17_PS_1218";"55";"42";"11";"21"
"HRV17_PS_1218";"56";"42";"11";"21"
"HRV17_PS_1218";"57";"42";"11";"21"
"HRV17_PS_1218";"58";"42";"11";"21"
"HRV17_PS_1218";"59";"42";"11";"21"
"HRV17_PS_1218";"60";"42";"5";"21"
"HRV17_PS_1218";"61";"45";"4";"22"
"HRV17_PS_1218";"62";"45";"8";"22"
"HRV17_PS_1218";"63";"45";"8";"22"
"HRV17_PS_1218";"64";"45";"8";"22"
"HRV17_PS_1218";"65";"45";"8";"22"
"HRV17_PS_1218";"66";"45";"8";"22"
"HRV17_PS_1218";"67";"45";"8";"22"
"HRV17_PS_1218";"68";"45";"8";"22"
"HRV17_PS_1218";"69";"45";"8";"22"
"HRV17_PS_1218";"70";"45";"8";"22"
"HRV17_PS_1218";"71";"45";"8";"22"
"HRV17_PS_1218";"72";"45";"4";"22"
"HRV17_PS_1218";"73";"41";"3";"22"
"HRV17_PS_1218";"74";"41";"7";"22"
"HRV17_PS_1218";"75";"41";"7";"22"
"HRV17_PS_1218";"76";"41";"7";"22"
"HRV17_PS_1218";"77";"41";"7";"22"
"HRV17_PS_1218";"78";"41";"7";"22"
"HRV17_PS_1218";"79";"41";"7";"22"
"HRV17_PS_1218";"80";"41";"7";"22"
"HRV17_PS_1218";"81";"41";"7";"22"
"HRV17_PS_1218";"82";"41";"7";"22"
"HRV17_PS_1218";"83";"41";"7";"22"
"HRV17_PS_1218";"84";"41";"3";"22"
"HRV17_PS_1824";"0";"55.5";"7";"78"
"HRV17_PS_1824";"1";"55.5";"7";"78"
"HRV17_PS_1824";"2";"55.5";"14";"78"
"HRV17_PS_1824";"3";"55.5";"14";"78"
"HRV17_PS_1824";"4";"55.5";"14";"78"
"HRV17_PS_1824";"5";"55.5";"14";"78"
"HRV17_PS_1824";"6";"55.5";"14";"78"
"HRV17_PS_1824";"7";"55.5";"14";"78"
"HRV17_PS_1824";"8";"55.5";"14";"78"
"HRV17_PS_1824";"9";"55.5";"14";"78"
"HRV17_PS_1824";"10";"55.5";"14";"78"
"HRV17_PS_1824";"11";"55.5";"14";"78"
"HRV17_PS_1824";"12";"55.5";"7";"78"
"HRV17_PS_1824";"13";"55.5";"7";"78"
"HRV17_PS_1824";"14";"55.5";"14";"78"
"HRV17_PS_1824";"15";"55.5";"14";"78"
"HRV17_PS_1824";"16";"55.5";"14";"78"
"HRV17_PS_1824";"17";"55.5";"14";"78"
"HRV17_PS_1824";"18";"55.5";"14";"78"
"HRV17_PS_1824";"19";"55.5";"14";"78"
"HRV17_PS_1824";"20";"55.5";"14";"78"
"HRV17_PS_1824";"21";"55.5";"14";"78"
"HRV17_PS_1824";"22";"55.5";"14";"78"
"HRV17_PS_1824";"23";"55.5";"14";"78"
"HRV17_PS_1824";"24";"55.5";"7";"78"
"HRV17_PS_1824";"25";"55.5";"7";"78"
"HRV17_PS_1824";"26";"55.5";"14";"78"
"HRV17_PS_1824";"27";"55.5";"14";"78"
"HRV17_PS_1824";"28";"55.5";"14";"78"
"HRV17_PS_1824";"29";"55.5";"14";"78"
"HRV17_PS_1824";"30";"55.5";"14";"78"
"HRV17_PS_1824";"31";"55.5";"14";"78"
"HRV17_PS_1824";"32";"55.5";"14";"78"
"HRV17_PS_1824";"33";"55.5";"14";"78"
"HRV17_PS_1824";"34";"55.5";"14";"78"
"HRV17_PS_1824";"35";"55.5";"14";"78"
"HRV17_PS_1824";"36";"55.5";"7";"78"
"HRV17_PS_1824";"37";"55.5";"7";"78"
"HRV17_PS_1824";"38";"55.5";"14";"78"
"HRV17_PS_1824";"39";"55.5";"14";"78"
"HRV17_PS_1824";"40";"55.5";"14";"78"
"HRV17_PS_1824";"41";"55.5";"14";"78"
"HRV17_PS_1824";"42";"55.5";"14";"78"
