year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2010;Jul;200;30;150;-1;-1;6;PGP_VL0006
2010;Aug;200;30;150;-1;-1;6;PGP_VL0006
2010;Set;200;30;150;-1;-1;6;PGP_VL0006
2010;Oct;200;30;150;-1;-1;6;PGP_VL0006
2010;Nov;200;30;150;-1;-1;6;PGP_VL0006
2010;Dec;200;30;150;-1;-1;6;PGP_VL0006
2011;Jan;220;30;150;-1;-1;6;PGP_VL0006
2011;Feb;220;30;150;-1;-1;6;PGP_VL0006
2011;Mar;220;30;150;-1;-1;6;PGP_VL0006
2011;Apr;220;30;150;-1;-1;6;PGP_VL0006
2011;May;220;30;150;-1;-1;6;PGP_VL0006
2011;Jun;220;30;150;-1;-1;6;PGP_VL0006
2011;Jul;220;30;150;-1;-1;6;PGP_VL0006
2011;Aug;220;30;150;-1;-1;6;PGP_VL0006
2011;Set;220;30;150;-1;-1;6;PGP_VL0006
2011;Oct;220;30;150;-1;-1;6;PGP_VL0006
2011;Nov;220;30;150;-1;-1;6;PGP_VL0006
2011;Dec;220;30;150;-1;-1;6;PGP_VL0006
2012;Jan;220;30;150;-1;-1;6;PGP_VL0006
2012;Feb;220;30;150;-1;-1;6;PGP_VL0006
2012;Mar;220;30;150;-1;-1;6;PGP_VL0006
2012;Apr;220;30;150;-1;-1;6;PGP_VL0006
2012;May;220;30;150;-1;-1;6;PGP_VL0006
2012;Jun;220;30;150;-1;-1;6;PGP_VL0006
2012;Jul;220;30;150;-1;-1;6;PGP_VL0006
2012;Aug;220;30;150;-1;-1;6;PGP_VL0006
2012;Set;220;30;150;-1;-1;6;PGP_VL0006
2012;Oct;220;30;150;-1;-1;6;PGP_VL0006
2012;Nov;220;30;150;-1;-1;6;PGP_VL0006
2012;Dec;220;30;150;-1;-1;6;PGP_VL0006
2013;Jan;220;30;150;-1;-1;6;PGP_VL0006
2013;Feb;220;30;150;-1;-1;6;PGP_VL0006
2013;Mar;220;30;150;-1;-1;6;PGP_VL0006
2013;Apr;220;30;150;-1;-1;6;PGP_VL0006
2013;May;220;30;150;-1;-1;6;PGP_VL0006
2013;Jun;220;30;150;-1;-1;6;PGP_VL0006
2013;Jul;220;30;150;-1;-1;6;PGP_VL0006
2013;Aug;220;30;150;-1;-1;6;PGP_VL0006
2013;Set;220;30;150;-1;-1;6;PGP_VL0006
2013;Oct;220;30;150;-1;-1;6;PGP_VL0006
2013;Nov;220;30;150;-1;-1;6;PGP_VL0006
2013;Dec;220;30;150;-1;-1;6;PGP_VL0006
2014;Jan;200;30;150;-1;-1;6;PGP_VL0006
2014;Feb;200;30;150;-1;-1;6;PGP_VL0006
2014;Mar;200;30;150;-1;-1;6;PGP_VL0006
2014;Apr;200;30;150;-1;-1;6;PGP_VL0006
2014;May;200;30;150;-1;-1;6;PGP_VL0006
2014;Jun;200;30;150;-1;-1;6;PGP_VL0006
2014;Jul;200;30;150;-1;-1;6;PGP_VL0006
2014;Aug;200;30;150;-1;-1;6;PGP_VL0006
2014;Set;200;30;150;-1;-1;6;PGP_VL0006
2014;Oct;200;30;150;-1;-1;6;PGP_VL0006
2014;Nov;200;30;150;-1;-1;6;PGP_VL0006
2014;Dec;200;30;150;-1;-1;6;PGP_VL0006
2015;Jan;200;30;150;-1;-1;6;PGP_VL0006
2015;Feb;200;30;150;-1;-1;6;PGP_VL0006
2015;Mar;200;30;150;-1;-1;6;PGP_VL0006
2015;Apr;200;30;150;-1;-1;6;PGP_VL0006
