FS;Year;Month;Land;Unit;Source
Abruzzo_PGP;2015;5;0.37485;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;6;0.66936;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;7;1.43417;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;8;3.25903;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;9;1.13934;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;10;2.50097;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;11;1.36391;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;12;0.25102;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;1;0.17338;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;2;0.30755;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;3;0.24058;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;4;0.78;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;5;1.0673;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;6;1.77595;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;7;3.4546;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;8;1.78236;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;9;1.75495;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;10;2.51414;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;11;1.11929;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2016;12;0.378;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;1;1.40943;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;2;0.07838;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;3;1.50507;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;4;1.08267;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;5;1.37664;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;6;1.80219;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;7;2.94617;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;8;5.60307;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;9;1.31587;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;10;1.77201;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;11;1.91569;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2017;12;0.47209;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;1;0.79696;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;4;0.01741;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;5;0.26256;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;6;0.86342;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;7;1.86664;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;8;2.50158;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;9;1.17455;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;10;1.83118;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;11;1.24739;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2018;12;1.05115;tons;File MBL2 SOL.xlsx
Abruzzo_PS;2005;3;3.29689;tons;File MBL2 SOL.xlsx
Abruzzo_PS;2005;9;0.10438;tons;File MBL2 SOL.xlsx
Abruzzo_PS;2005;11;0.01541;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;3;2.06441;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;4;2.04135;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;5;1.96596;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;6;1.83501;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;7;1.38825;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;8;0.68315;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;9;1.153;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;10;1.55001;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;11;1.54803;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2005;12;3.44896;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2006;1;4.04271;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2006;2;2.90723;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2006;3;3.22325;tons;File MBL2 SOL.xlsx
Abruzzo_TBB;2006;4;5.40366;tons;File MBL2 SOL.xlsx
Calabria ionica_DTS;2013;1;0.02672;tons;File MBL2 SOL.xlsx
Calabria ionica_DTS;2013;5;0.01342;tons;File MBL2 SOL.xlsx
